0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
0.15811843,-0.9938836,0.06159961,0.6415313,-0.9684495,-1.7030987,-1.6657233,1.0668122,-0.14695369,-0.24594806,0.59415936,-1.16151,0.09677099,0.50938386,-0.24502091,0.73079073,0.11526064,-1.1881382,-0.5454919,0.754563,1.5155416,0.14029537,1.1586686,0.114503466,-0.024250064,-0.7063638,2.4076843,0.58082193,-0.80251855,0.8413028,-1.7817574,0.39764228,-0.23698123,0.44593528,-0.59972847,-0.88337463,-0.93430406,0.041252416,-1.2056859,0.25987226,-1.2281743,1.2702533,-0.1577874,0.35764712,-0.9370455,-0.12787117,-0.94138503,-0.91158926,-0.2848277,0.7435097
-0.92310697,-0.1426756,0.8784372,-0.15140936,0.9284944,1.0956467,1.3945242,0.5324619,0.06752559,-0.91335213,-1.0028117,1.3864342,2.004455,-1.7231759,-0.3794291,-0.37649405,1.6090405,0.6895866,-2.4238143,0.92834234,0.65316665,-0.4298999,-2.2107913,-1.2473553,1.0295471,-0.35616452,0.0018749879,0.039582532,-0.4057933,0.5725456,0.6978215,0.49206522,0.3010991,1.1046569,0.36120185,-0.12440119,-1.0885626,-2.2071846,-1.6204659,-1.2561636,1.5561515,0.97315246,-1.6758991,0.038005363,-1.4093229,0.28929928,0.27844617,0.16673899,-0.89176506,-0.46233174
-0.0072685406,-0.81971395,0.9914375,-0.20697984,0.38430783,-0.6560099,1.0976648,0.30258593,-1.3246127,0.12448905,-0.821014,-1.2312936,1.5651946,-0.7298089,0.42787546,-1.0628175,-0.51196134,1.116388,-0.35588142,0.82843816,-1.193051,0.9226278,1.5602083,0.82441133,-1.2815735,0.76164347,-1.4961101,0.08197325,0.05782797,-0.20144916,1.0379946,0.4094415,0.33058545,-0.63965255,-1.8223555,-1.1072958,1.3105534,-1.6093141,-0.703758,-0.40245745,0.6972124,0.7339361,1.1128345,-0.12284137,0.895823,0.85210395,-0.32727775,0.02458272,-1.6839811,-1.1932542
1.4355981,-1.5609746,0.08344387,-1.2963227,-0.10663865,0.072677374,-0.67316264,-0.13699384,1.2250146,1.3753444,-0.91388285,0.23318326,-1.5931141,1.1768229,0.45739412,0.30272293,0.96666086,-0.8811592,1.6820832,0.4438059,-0.17840345,0.1347409,2.021095,1.4068694,-0.22518255,0.12432606,0.75522035,1.0473288,-1.2391418,1.4717708,0.74443394,-0.12021512,0.26299253,-0.17039746,0.05661532,-0.6676171,1.4732062,0.24013218,0.961857,1.4688922,-0.44367698,0.60087526,0.6402094,0.8903541,-0.22918995,0.555407,-0.10165591,1.9436481,0.892875,0.91601515
0.8377904,-0.6201774,0.8434152,-0.5434675,0.7880043,0.5068139,-0.6280069,0.2172725,-1.4441994,1.3019596,-0.52602714,0.9479496,-0.0697418,-0.04845808,0.44548342,0.84782416,-0.48977107,-0.7325336,0.3695155,2.5404668,-1.1115776,-0.22854146,0.3665367,0.72705823,-0.8184133,-0.2894865,0.12168951,1.786936,1.4839925,-0.5767855,-1.5779022,0.2817505,-1.4211287,-0.08069247,-0.6516133,-1.3961064,1.6610658,0.61915183,0.9322699,0.8879566,-0.107237406,-0.2750651,1.3115618,0.9371831,-2.8116498,-0.25099552,-0.68689907,0.98653084,-0.71217006,1.7903785
-0.007995266,-2.2183251,1.372872,1.0959096,0.6939237,-0.19699962,-0.0046300413,-0.37628508,0.84840983,-0.3358535,1.0388324,0.23098668,1.7228584,-0.23493882,2.1838422,-0.7724575,1.8042483,-0.53057605,-0.78683305,-0.6380576,-3.4191406,0.818117,0.9945263,-0.1256005,0.3578831,-0.2459001,-0.681017,0.18378136,-0.003555564,-0.58862984,1.0993912,1.6595697,-0.71143776,0.8274733,0.3538825,-0.24472357,0.45990297,-0.11797327,0.25292897,0.010330651,-0.36051458,-2.7062526,-0.77025753,-0.25069144,-2.2888288,0.86528,-1.845621,-0.3281052,1.5248396,-0.8543288
-0.038784754,-1.3326889,-0.695371,-0.7677934,0.1515894,-0.5727397,-1.5599364,-0.30255663,1.2350632,1.5086261,-0.86769253,-0.5077384,-0.7242528,-0.52028215,-1.315826,-0.3022203,0.7174322,1.1475414,-1.2346843,0.44103983,-2.5804179,-0.88997436,0.41278976,-0.14923774,-1.2525616,0.81676626,-0.6591715,-0.72033334,-1.3015091,0.20221753,1.9786748,0.86684453,0.055430546,1.8062611,0.12089536,1.2541747,-0.9527193,-0.34583035,-0.2087717,1.5783435,1.7464538,-0.13862252,0.98910046,-0.22770666,-1.5332769,1.9321883,-0.1595867,1.1556108,0.23072414,-0.49125847
-1.8121535,0.30772966,0.39812854,0.9788343,-0.5220795,-0.8069991,0.07331306,1.0975955,0.12099014,0.26235616,-0.2992459,-1.5054389,0.077553086,0.32134405,0.77543193,-2.4846292,-0.87624866,1.3505126,-0.741708,0.47710645,-0.8310617,-0.8063863,-1.095171,-0.045705605,1.098001,-1.8222654,1.0272958,0.4396697,-0.6890435,-0.66661733,0.30221254,1.108474,-0.5310368,1.2300992,0.1344946,-0.6163197,0.7424761,-1.8358158,-0.86940646,0.3285136,1.4980178,2.068827,0.09836403,0.6785107,-0.65274173,0.57627463,-1.1225967,-2.2544127,-1.3469075,-0.45038682
0.797474,-0.2620058,0.14368439,0.2620427,0.9062288,-0.47155067,0.20416586,1.1190455,-0.104269065,-0.08331966,1.3513552,-0.55616975,1.1521344,1.2145135,0.5971279,-0.7201564,0.3047602,-0.23580134,0.4292735,-2.3544827,0.32063296,0.8149796,-1.2113298,-0.6999766,0.5548095,-1.7650253,0.03769561,-0.44621664,0.94499195,-0.4879868,-1.8681117,-0.4725255,1.251782,1.259098,-0.17576477,1.6706977,-0.09115682,-0.38834462,-0.3346894,-1.6961733,1.158254,-0.110042095,-0.5512184,0.80907625,-0.18376997,0.8331137,0.65990806,-0.09664247,-1.9847794,0.6023484
1.5976634,-1.0241177,-0.14051138,0.4326838,-1.3032268,-1.4541501,-1.6467716,-2.023235,-0.51209164,-0.5374851,-0.51125735,-1.3478111,0.43357682,-0.09438017,1.3669419,0.69507205,-0.6679805,-0.22936335,-1.328343,-0.81769437,-0.6800027,-0.508163,-0.5148831,0.3782132,0.7812395,0.2693743,1.4921948,-1.3934112,-1.883366,0.85922587,-1.6827306,1.0578465,0.21376997,0.17206141,-0.77532876,0.08767399,1.8615111,-0.4806577,-0.26866114,1.2634852,0.46238586,-0.945653,0.85054296,-0.4986803,-1.9990234,0.23420757,0.2234551,1.0853461,-0.44412044,1.2860892
-0.38854453,1.4615328,-0.65358055,0.74975675,-0.47164184,0.035020586,0.42668402,0.19663163,-0.7952912,0.32621604,-0.082613744,-0.025962062,0.5082651,-0.31502616,-0.79529333,-1.4694095,-0.7220426,0.034467597,0.45425752,-0.8457941,-0.5387362,-1.2421498,-0.21706316,0.18262407,0.31178275,0.70247895,-0.017865213,-0.70057356,0.65703243,-1.4595724,0.22706528,0.7442682,-1.1335932,-0.52479935,-0.393825,-0.43003157,0.70160156,0.7049777,0.38590685,-0.80573505,-1.8274758,1.1252369,-1.1476499,-0.061384715,0.5222673,0.9146223,-0.28244302,-1.0106634,-0.3982569,-0.84486455
-1.5600027,0.19484973,-2.8365228,-0.093274914,-1.1814953,0.18816152,-0.5582681,1.8098166,-1.0047787,-0.37673494,-0.2947082,-0.0671099,-0.9277546,-0.84155285,-1.2529049,0.76489925,1.1379747,-0.30759615,1.1046042,-0.40963042,1.128846,0.57200825,0.3533222,0.73823386,-1.0875189,-0.43502328,0.12747224,-0.64475405,-1.5247796,-1.0742384,-1.8825117,1.2058759,0.4046682,1.532664,1.0870086,0.56877255,-0.1604431,0.30794516,0.49971515,0.41348344,-2.5385592,1.762445,1.3046304,-0.06932358,1.6630706,-0.096862845,-1.0454342,-0.012801495,0.21911982,-1.1959552
-0.2585613,1.0839769,-0.3618819,0.5079696,0.8436618,1.2380787,-1.0188881,-1.2885586,0.66003585,0.120801516,0.9879835,-1.3124267,-0.045307044,0.17639694,-0.64204234,0.20382337,0.518361,-0.85333234,1.1119791,-0.5776501,1.534986,0.16253325,-1.0542269,0.47387865,0.60861737,0.9332304,0.90732574,0.6784241,-2.1727982,2.8756833,-0.21595074,-1.4206578,-0.610254,-0.21208404,0.043290544,0.15495113,-0.6168174,1.7012502,-0.87915325,1.1332914,1.2013369,1.0280397,1.7274458,-0.34062436,1.2745064,-0.26633385,-1.3667752,0.6165245,0.638858,-0.7381352
-0.9661028,-0.038986616,-0.7204708,-1.1517583,0.1471166,-1.6817466,1.3385762,-0.44909942,1.402132,-0.07267449,0.21220693,0.647357,0.00091136526,-0.47998312,1.079129,-1.9723614,0.23211107,0.2322685,1.3235403,-1.0636023,0.4453881,2.1395848,-1.4062146,-0.5252359,0.42075336,1.3099098,-1.0250183,-0.64113545,0.27570555,-0.67743546,-0.28054345,-1.3109984,-0.85864156,0.2272704,-0.12135835,-0.3311277,-0.5339889,-1.1741732,-0.76981306,2.1493897,1.5863887,-0.06271488,0.6879612,0.2701699,1.9487109,1.300261,-0.9118722,2.6263394,0.74604064,1.1042314
